                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 3 2018                               
                        UCC -dir hadoop-0.16.0 -outdir out/hadoop-0.16.0-ucc                        

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
340,30,93,0,16,18,114,148,217,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/filter/RegExpRowFilter.java
125,11,100,0,4,8,1,13,14,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/filter/RowFilterInterface.java
313,21,54,0,10,14,129,153,238,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/filter/RowFilterSet.java
148,18,67,0,8,3,30,41,63,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/filter/StopRowFilter.java
181,20,61,0,8,7,53,68,100,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/filter/WhileMatchRowFilter.java
93,17,0,0,11,3,51,65,76,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/generated/master/hql_jsp.java
169,15,0,0,20,9,110,139,154,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/generated/master/master_jsp.java
100,11,0,0,12,1,66,79,89,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/generated/regionserver/regionserver_jsp.java
280,30,80,3,11,22,82,115,170,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HAbstractScanner.java
546,61,133,3,12,13,198,223,352,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HBaseAdmin.java
51,5,27,0,3,0,11,14,19,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HBaseConfiguration.java
352,48,118,0,9,21,99,129,186,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HColumnDescriptor.java
95,10,68,0,4,8,1,13,17,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HConnection.java
769,116,155,1,20,38,249,307,498,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HConnectionManager.java
184,46,97,0,2,33,3,38,41,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HConstants.java
35,2,28,0,1,2,1,4,5,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HInternalScannerInterface.java
628,37,229,0,23,23,194,240,362,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HLog.java
138,19,51,0,4,9,33,46,68,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HLogEdit.java
159,22,65,0,3,3,47,53,72,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HLogKey.java
3262,420,641,23,43,161,1207,1411,2201,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HMaster.java
114,15,80,0,4,11,1,16,19,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HMasterInterface.java
55,5,40,0,4,3,1,8,10,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HMasterRegionInterface.java
401,53,42,0,14,26,162,202,306,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HMerge.java
214,40,79,0,5,13,53,71,95,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HMsg.java
248,30,54,1,15,9,94,118,164,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/AlterCommand.java
100,13,40,0,3,5,25,33,47,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/BasicCommand.java
66,6,22,0,4,1,18,23,38,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/ClearCommand.java
45,5,30,0,2,3,2,7,10,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/Command.java
27,1,22,0,1,0,2,3,4,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/CommandFactory.java
93,11,32,0,12,3,24,39,50,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/CreateCommand.java
131,14,32,0,11,6,46,63,85,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/DeleteCommand.java
90,7,25,0,9,4,33,46,58,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/DescCommand.java
