                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 1 2018                               
                                 UCC -outdir ucc -dir hadoop-0.2.0                                 

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
97,11,67,0,1,5,6,12,19,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/generated/Token.java
149,14,63,0,1,8,36,45,72,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/generated/TokenMgrError.java
47,5,20,0,6,3,9,18,22,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JavaGenerator.java
41,6,20,0,1,0,9,10,15,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JBoolean.java
67,10,20,0,1,3,23,27,37,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JBuffer.java
33,4,20,0,1,0,5,6,9,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JByte.java
51,7,20,0,1,2,15,18,24,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JCompType.java
38,5,20,0,1,1,7,9,13,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JDouble.java
93,17,22,0,1,2,34,37,54,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JField.java
56,7,20,0,3,4,16,23,29,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JFile.java
37,5,20,0,1,0,7,8,12,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JFloat.java
33,4,20,0,1,0,5,6,9,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JInt.java
37,5,20,0,1,0,7,8,12,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JLong.java
99,15,20,0,1,3,54,58,64,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JMap.java
384,38,24,0,6,17,253,276,322,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JRecord.java
47,8,20,0,1,1,11,13,19,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JString.java
127,22,22,0,1,11,51,63,83,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JType.java
92,15,20,0,1,2,49,52,57,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/compiler/JVector.java
