                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 1 2018                               
                             UCC -outdir ucc -dir apache-log4j-2.1-src/                             

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
103,16,61,0,8,11,3,22,26,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/PluginAttribute.java
49,6,27,0,8,2,2,12,16,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/PluginBuilderAttribute.java
33,3,19,0,6,0,1,7,11,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/PluginBuilderFactory.java
36,3,20,0,7,0,2,9,13,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/PluginConfiguration.java
40,4,22,0,7,1,2,10,14,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/PluginElement.java
34,3,20,0,6,0,1,7,11,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/PluginFactory.java
35,3,19,0,7,0,2,9,13,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/PluginNode.java
40,4,22,0,7,1,2,10,14,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/PluginValue.java
44,5,25,0,8,1,1,10,14,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/PluginVisitorStrategy.java
22,1,20,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/processor/package-info.java
139,9,51,0,12,8,41,61,79,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/processor/PluginCache.java
